timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610139541344,459,Home Page,200,OK,Scenario 1 1-18,text,true,,51151,313,15,15,http://192.168.1.10:5005/,107,0,17
1610139541343,460,Home Page,200,OK,Scenario 1 1-20,text,true,,51151,313,15,15,http://192.168.1.10:5005/,108,0,18
1610139539563,2240,Buat Instance,200,OK,Scenario 1 1-24,text,true,,15626,321,15,15,http://192.168.1.10:5005/buatbaru,2147,0,388
1610139541265,545,Buat Instance,200,OK,Scenario 1 1-14,text,true,,15626,321,15,15,http://192.168.1.10:5005/buatbaru,493,0,42
1610139541348,472,Buat Instance,200,OK,Scenario 1 1-16,text,true,,15626,321,15,15,http://192.168.1.10:5005/buatbaru,425,0,50
1610139541348,472,Home Page,200,OK,Scenario 1 1-15,text,true,,51151,313,15,15,http://192.168.1.10:5005/,200,0,50
1610139541348,473,Home Page,200,OK,Scenario 1 1-21,text,true,,51151,313,15,15,http://192.168.1.10:5005/,200,0,51
1610139541348,473,Home Page,200,OK,Scenario 1 1-17,text,true,,51151,313,15,15,http://192.168.1.10:5005/,175,0,51
1610139541702,146,dashboard,200,OK,Scenario 1 1-26,text,true,,12429,322,15,15,http://192.168.1.10:5005/dashboard,125,0,101
1610139541391,458,Home Page,200,OK,Scenario 1 1-22,text,true,,51151,313,15,15,http://192.168.1.10:5005/,229,0,106
1610139541746,139,dashboard,200,OK,Scenario 1 1-27,text,true,,12429,322,15,15,http://192.168.1.10:5005/dashboard,136,0,57
1610139541803,106,dashboard,200,OK,Scenario 1 1-18,text,true,,12429,322,16,16,http://192.168.1.10:5005/dashboard,104,0,46
1610139541803,136,dashboard,200,OK,Scenario 1 1-20,text,true,,12429,322,16,16,http://192.168.1.10:5005/dashboard,136,0,46
1610139541850,99,dashboard,200,OK,Scenario 1 1-22,text,true,,12429,322,16,16,http://192.168.1.10:5005/dashboard,98,0,39
1610139541821,128,dashboard,200,OK,Scenario 1 1-15,text,true,,12429,322,16,16,http://192.168.1.10:5005/dashboard,120,0,67
1610139541822,150,dashboard,200,OK,Scenario 1 1-17,text,true,,12429,322,16,16,http://192.168.1.10:5005/dashboard,128,0,66
1610139541821,168,dashboard,200,OK,Scenario 1 1-21,text,true,,12429,322,16,16,http://192.168.1.10:5005/dashboard,164,0,67
1610139541891,416,Home Page,200,OK,Scenario 1 1-28,text,true,,51151,313,16,16,http://192.168.1.10:5005/,118,0,48
